,winner,point_difference,result,name,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed
112,7,5,2,Alabama,7,1,0,112,1985,Alabama,4.63,6.33,14.7,0.97,11.0,31.0,465.0,882.0,0.527,83.3,0.443,0.355,0.696,1985,11.5,28.5,40.0,2
113,7,5,2,VCU,2,0,1,113,1985,VCU,4.44,9.41,13.2,1.05,7.5,22.0,472.0,982.0,0.481,71.3,0.429,0.342,0.703,1985,10.2,23.9,34.1,7
114,1,11,1,St. John's (NY),1,1,1,114,1985,St. John's,4.22,10.15,14.6,1.24,6.4,21.0,559.0,1235.0,0.453,74.7,0.407,0.307,0.711,1985,13.0,26.5,39.4,12
115,1,11,1,Kentucky,12,0,0,115,1985,Kentucky,5.26,5.19,13.7,1.09,4.8,15.0,567.0,1115.0,0.509,74.9,0.461,0.327,0.791,1985,9.7,27.7,37.4,1
116,3,4,1,NC State,3,1,1,116,1985,NC State,4.52,7.44,13.1,1.1,7.1,22.0,549.0,1068.0,0.514,74.3,0.446,0.324,0.707,1985,10.6,25.7,36.3,7
117,3,4,1,Alabama,7,0,0,117,1985,Alabama,4.63,6.33,14.7,0.97,11.0,31.0,465.0,882.0,0.527,83.3,0.443,0.355,0.696,1985,11.5,28.5,40.0,3
118,1,2,1,St. John's (NY),1,1,1,118,1985,St. John's,4.22,10.15,14.6,1.24,6.4,21.0,559.0,1235.0,0.453,74.7,0.407,0.307,0.711,1985,13.0,26.5,39.4,3
119,1,2,1,NC State,3,0,0,119,1985,NC State,4.52,7.44,13.1,1.1,7.1,22.0,549.0,1068.0,0.514,74.3,0.446,0.324,0.707,1985,10.6,25.7,36.3,1
120,8,6,2,Villanova,8,1,0,120,1985,Villanova,2.74,5.85,14.9,1.39,9.9,27.0,436.0,859.0,0.508,73.9,0.441,0.364,0.778,1985,9.1,27.0,36.0,2
121,8,6,2,Memphis,2,0,1,121,1985,Memphis,6.07,8.15,14.1,0.86,6.6,20.0,514.0,1014.0,0.507,73.3,0.448,0.336,0.671,1985,10.4,29.1,39.5,8
