,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,name_y,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted
40,8,1,1,Old Dominion,9,0,0,33,2011,Old Dominion,4.36,6.82,14.5,1.17,4.9,15.0,626.0,1294.0,0.484,65.8,0.441,0.32899999999999996,0.664,2011,15.5,24.7,40.2,8,Old Dominion,Old Dominion,9.03,1.76,60.7,108.1,0.485,2011,14.59,8.41,68.8,105.9,0.499,-5.5600000000000005,-6.65,-8.099999999999994,2.1999999999999886,-0.014000000000000012
41,5,7,1,Kansas State,5,1,1,34,2011,Kansas State,4.78,6.34,14.2,0.95,7.1,19.0,579.0,1235.0,0.469,73.1,0.43799999999999994,0.375,0.647,2011,14.6,23.3,38.0,12,Kansas State,Kansas State,14.59,8.41,68.8,105.9,0.499,2011,9.03,1.76,60.7,108.1,0.485,5.5600000000000005,6.65,8.099999999999994,-2.1999999999999886,0.014000000000000012
42,4,1,1,Kansas State,5,0,0,48,2011,Kansas State,4.78,6.34,14.2,0.95,7.1,19.0,579.0,1235.0,0.469,73.1,0.43799999999999994,0.375,0.647,2011,14.6,23.3,38.0,4,Kansas State,Kansas State,14.59,8.41,68.8,105.9,0.499,2011,13.23,0.5,64.1,111.6,0.527,1.3599999999999994,7.91,4.700000000000003,-5.699999999999989,-0.028000000000000025
43,5,7,1,Utah State,12,0,0,35,2011,Utah State,3.27,4.85,14.8,1.26,6.1,16.0,617.0,1194.0,0.517,72.2,0.47,0.368,0.736,2011,10.8,26.7,37.5,5,Utah State,Utah State,13.23,0.5,64.1,111.6,0.527,2011,14.59,8.41,68.8,105.9,0.499,-1.3599999999999994,-7.91,-4.700000000000003,5.699999999999989,0.028000000000000025
44,4,9,1,Wisconsin,4,1,1,36,2011,Wisconsin,3.16,3.45,13.2,1.78,8.1,22.0,490.0,989.0,0.495,68.2,0.445,0.371,0.8240000000000001,2011,10.5,21.5,32.1,13,Wisconsin,Wisconsin,18.77,9.42,57.3,117.7,0.518,2011,18.77,9.42,57.3,117.7,0.518,0.0,0.0,0.0,0.0,0.0
45,4,1,1,Wisconsin,4,1,1,49,2011,Wisconsin,3.16,3.45,13.2,1.78,8.1,22.0,490.0,989.0,0.495,68.2,0.445,0.371,0.8240000000000001,2011,10.5,21.5,32.1,5,Wisconsin,Wisconsin,18.77,9.42,57.3,117.7,0.518,2011,18.77,9.42,57.3,117.7,0.518,0.0,0.0,0.0,0.0,0.0
46,8,4,2,Wisconsin,4,0,1,55,2011,Wisconsin,3.16,3.45,13.2,1.78,8.1,22.0,490.0,989.0,0.495,68.2,0.445,0.371,0.8240000000000001,2011,10.5,21.5,32.1,8,Wisconsin,Wisconsin,18.77,9.42,57.3,117.7,0.518,2011,13.07,-4.42,69.2,114.3,0.542,5.699999999999999,13.84,-11.900000000000006,3.4000000000000057,-0.02400000000000002
47,4,9,1,Belmont,13,0,0,37,2011,Belmont,3.47,9.74,16.4,1.18,9.4,25.0,605.0,1154.0,0.524,80.4,0.46399999999999997,0.381,0.737,2011,13.1,23.3,36.4,4,Belmont,Belmont,13.07,-4.42,69.2,114.3,0.542,2011,18.77,9.42,57.3,117.7,0.518,-5.699999999999999,-13.84,11.900000000000006,-3.4000000000000057,0.02400000000000002
48,11,5,2,St. John's (NY),6,0,1,38,2011,St. John's,2.81,8.0,12.8,1.03,4.3,13.0,644.0,1303.0,0.494,70.1,0.455,0.33,0.711,2011,10.9,21.8,32.8,11,St. John's (NY),St. John's (NY),13.1,10.01,66.5,105.1,0.495,2011,13.86,4.01,68.4,111.3,0.531,-0.7599999999999998,6.0,-1.9000000000000057,-6.200000000000003,-0.03600000000000003
49,11,5,2,Gonzaga,11,1,0,39,2011,Gonzaga,3.79,7.39,15.3,1.14,5.8,16.0,688.0,1314.0,0.524,76.7,0.479,0.366,0.759,2011,11.3,26.1,37.4,6,Gonzaga,Gonzaga,13.86,4.01,68.4,111.3,0.531,2011,13.1,10.01,66.5,105.1,0.495,0.7599999999999998,-6.0,1.9000000000000057,6.200000000000003,0.03600000000000003
