,point_difference,team_seed,win,higher_or_lower_seed,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,ORPG,DRPG,RPG,other_team_seed,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted,round
940,1,1,1,1,4.18,6.62,17.0,1.46,10.1,25.0,679.0,1201.0,0.565,81.5,0.498,0.40299999999999997,0.7,9.6,25.6,35.2,2,21.39,11.87,70.2,115.5,0.575,24.44,9.71,70.6,118.6,0.5589999999999999,-3.0500000000000007,2.1599999999999984,-0.3999999999999915,-3.0999999999999943,0.015999999999999903,4
941,1,2,0,0,5.36,7.52,17.5,1.39,8.3,22.0,734.0,1319.0,0.556,84.7,0.493,0.37799999999999995,0.708,13.5,28.3,41.9,1,24.44,9.71,70.6,118.6,0.5589999999999999,21.39,11.87,70.2,115.5,0.575,3.0500000000000007,-2.1599999999999984,0.3999999999999915,3.0999999999999943,-0.015999999999999903,4
942,15,1,1,1,2.94,5.85,16.6,1.34,7.8,21.0,695.0,1243.0,0.5589999999999999,84.3,0.491,0.369,0.79,9.8,28.6,38.4,16,19.08,9.45,72.3,115.5,0.5589999999999999,-7.53,-5.53,72.7,105.8,0.505,26.61,14.98,-0.4000000000000057,9.700000000000003,0.05400000000000005,1
943,15,16,0,0,3.94,5.59,12.3,0.97,7.8,22.0,612.0,1257.0,0.48700000000000004,77.6,0.441,0.363,0.7190000000000001,10.3,25.9,36.2,1,-7.53,-5.53,72.7,105.8,0.505,19.08,9.45,72.3,115.5,0.5589999999999999,-26.61,-14.98,0.4000000000000057,-9.700000000000003,-0.05400000000000005,1
944,1,8,0,1,4.25,5.16,13.6,0.96,9.3,24.0,480.0,941.0,0.51,73.3,0.45299999999999996,0.385,0.736,10.2,26.8,37.0,9,13.81,9.19,67.3,107.1,0.537,15.79,8.5,72.2,109.5,0.532,-1.9799999999999984,0.6899999999999995,-4.900000000000006,-2.4000000000000057,0.0050000000000000044,1
945,1,9,1,0,5.16,6.71,15.3,1.17,8.0,23.0,658.0,1206.0,0.546,81.8,0.474,0.35100000000000003,0.685,11.7,26.3,38.0,8,15.79,8.5,72.2,109.5,0.532,13.81,9.19,67.3,107.1,0.537,1.9799999999999984,-0.6899999999999995,4.900000000000006,2.4000000000000057,-0.0050000000000000044,1
946,7,5,1,1,4.0,6.03,14.8,1.25,6.8,19.0,678.0,1230.0,0.551,75.8,0.485,0.353,0.726,9.7,26.9,36.6,12,17.67,9.03,67.9,111.0,0.541,6.84,-0.38,72.3,115.7,0.5539999999999999,10.830000000000002,9.41,-4.399999999999992,-4.700000000000003,-0.013000000000000013,1
947,7,12,0,0,2.29,4.97,13.5,1.35,10.6,26.0,618.0,1188.0,0.52,84.9,0.47,0.40299999999999997,0.76,8.9,30.1,39.0,5,6.84,-0.38,72.3,115.7,0.5539999999999999,17.67,9.03,67.9,111.0,0.541,-10.830000000000002,-9.41,4.399999999999992,4.700000000000003,0.013000000000000013,1
948,9,4,1,1,3.71,6.44,15.7,1.39,9.1,24.0,740.0,1259.0,0.588,84.5,0.503,0.374,0.722,11.1,28.9,39.9,13,18.43,2.59,69.7,118.2,0.57,4.54,-3.87,66.9,107.1,0.525,13.89,6.46,2.799999999999997,11.100000000000007,0.04499999999999993,1
949,9,13,0,0,3.85,7.74,14.1,1.03,9.6,27.0,568.0,1092.0,0.52,73.5,0.446,0.358,0.701,11.9,25.2,37.1,4,4.54,-3.87,66.9,107.1,0.525,18.43,2.59,69.7,118.2,0.57,-13.89,-6.46,-2.799999999999997,-11.100000000000007,-0.04499999999999993,1
950,5,6,1,1,3.16,6.38,15.0,1.23,8.7,22.0,613.0,1184.0,0.518,78.1,0.469,0.389,0.7140000000000001,11.9,26.9,38.9,11,15.99,4.16,68.5,112.0,0.5329999999999999,12.23,3.91,70.4,109.6,0.519,3.76,0.25,-1.9000000000000057,2.4000000000000057,0.014000000000000012,1
951,5,11,0,0,3.19,6.31,14.9,1.25,7.3,22.0,647.0,1220.0,0.53,77.5,0.461,0.33899999999999997,0.721,11.1,26.6,37.7,6,12.23,3.91,70.4,109.6,0.519,15.99,4.16,68.5,112.0,0.5329999999999999,-3.76,-0.25,1.9000000000000057,-2.4000000000000057,-0.014000000000000012,1
952,11,3,1,1,3.17,6.26,14.8,1.62,9.1,25.0,623.0,1135.0,0.5489999999999999,74.5,0.47100000000000003,0.369,0.659,8.6,24.7,33.3,14,19.03,9.41,65.7,111.0,0.545,6.28,-2.25,69.9,108.8,0.513,12.75,11.66,-4.200000000000003,2.200000000000003,0.03200000000000003,1
953,11,14,0,0,3.39,7.79,12.8,1.03,5.5,16.0,743.0,1431.0,0.519,78.1,0.47100000000000003,0.34299999999999997,0.706,11.9,25.2,37.1,3,6.28,-2.25,69.9,108.8,0.513,19.03,9.41,65.7,111.0,0.545,-12.75,-11.66,4.200000000000003,-2.200000000000003,-0.03200000000000003,1
