,Unnamed: 0,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,eFG_perc_adv_subtracted
37,1045,4,9,1,Delaware,13,0,0,37,1993,Delaware,3.24,5.48,13.2,1.02,7.6,21.0,559.0,1003.0,0.557,74.4,0.48,0.35600000000000004,0.764,1993,7.5,26.0,33.5,4,Delaware,37,Delaware,-0.63,-5.63,0.471,1993,14.65,8.85,0.549,-15.280000000000001,-14.48,-0.07800000000000007
38,1046,6,5,1,California,6,1,1,38,1993,California,2.26,4.0,9.1,0.7,5.0,15.0,460.0,1017.0,0.452,62.4,0.42100000000000004,0.341,0.723,1993,8.0,24.6,32.6,11,University of California,38,University of California,12.79,7.26,0.509,1993,10.25,5.28,0.483,2.539999999999999,1.9799999999999995,0.026000000000000023
39,1047,6,5,1,LSU,11,0,0,39,1993,LSU,4.15,6.52,12.9,0.98,6.4,20.0,599.0,1092.0,0.5489999999999999,80.8,0.47200000000000003,0.319,0.773,1993,12.5,27.6,40.1,6,Louisiana State,39,Louisiana State,10.25,5.28,0.483,1993,12.79,7.26,0.509,-2.539999999999999,-1.9799999999999995,-0.026000000000000023
40,1048,3,11,1,Duke,3,1,1,40,1993,Duke,5.96,8.48,15.8,1.19,7.1,20.0,623.0,1166.0,0.534,82.6,0.47700000000000004,0.355,0.695,1993,12.8,27.5,40.3,14,Duke,40,Duke,25.98,10.76,0.554,1993,9.33,2.14,0.501,16.65,8.62,0.05300000000000005
41,1049,3,11,1,Southern Illinois,14,0,0,41,1993,Southern Illinois,1.9,6.45,11.6,0.96,7.1,21.0,423.0,862.0,0.491,62.6,0.429,0.342,0.718,1993,6.6,23.8,30.4,3,Southern Illinois,41,Southern Illinois,9.33,2.14,0.501,1993,25.98,10.76,0.554,-16.65,-8.62,-0.05300000000000005
42,1050,7,3,1,BYU,7,1,1,42,1993,BYU,2.13,5.83,17.6,1.61,10.6,25.0,580.0,1033.0,0.561,80.6,0.503,0.42200000000000004,0.706,1993,6.5,26.5,33.0,10,Brigham Young,42,Brigham Young,12.49,4.08,0.54,1993,6.81,3.15,0.474,5.680000000000001,0.9300000000000002,0.06600000000000006
43,1051,7,3,1,SMU,10,0,0,43,1993,SMU,3.19,5.85,16.0,1.19,8.3,25.0,471.0,857.0,0.55,75.0,0.45899999999999996,0.337,0.769,1993,11.7,25.3,37.0,7,Southern Methodist,43,Southern Methodist,6.81,3.15,0.474,1993,12.49,4.08,0.54,-5.680000000000001,-0.9300000000000002,-0.06600000000000006
44,1052,2,13,1,Kansas,2,1,1,44,1993,Kansas,4.93,7.71,14.4,1.13,6.7,19.0,591.0,1066.0,0.5539999999999999,75.3,0.48700000000000004,0.35200000000000004,0.67,1993,10.4,28.1,38.5,15,Kansas,44,Kansas,22.3,10.88,0.565,1993,1.32,-4.68,0.506,20.98,15.56,0.05899999999999994
45,1053,2,13,1,Ball State,15,0,0,45,1993,Ball State,3.48,6.81,13.7,1.06,9.1,27.0,411.0,811.0,0.507,68.9,0.426,0.336,0.67,1993,9.0,26.7,35.7,2,Ball State,45,Ball State,1.32,-4.68,0.506,1993,22.3,10.88,0.565,-20.98,-15.56,-0.05899999999999994
46,1054,1,8,1,Indiana,1,1,1,46,1993,Indiana,4.33,5.59,13.0,0.99,5.4,17.0,543.0,1076.0,0.505,72.4,0.451,0.324,0.6829999999999999,1993,11.3,26.3,37.6,9,Indiana,46,Indiana,25.84,11.09,0.57,1993,10.89,2.75,0.542,14.95,8.34,0.027999999999999914
